"Notes","County of Residence","County of Residence Code","Month","Month Code",Births
,"Alameda County, CA","06001","January","1",1244
,"Alameda County, CA","06001","February","2",1210
,"Alameda County, CA","06001","March","3",1364
,"Alameda County, CA","06001","April","4",1272
,"Alameda County, CA","06001","May","5",1387
,"Alameda County, CA","06001","June","6",1298
,"Alameda County, CA","06001","July","7",1412
,"Alameda County, CA","06001","August","8",1364
,"Alameda County, CA","06001","September","9",1358
,"Alameda County, CA","06001","October","10",1408
,"Alameda County, CA","06001","November","11",1319
,"Alameda County, CA","06001","December","12",1387
"Total","Alameda County, CA","06001",,,16023
,"Butte County, CA","06007","January","1",192
,"Butte County, CA","06007","February","2",156
,"Butte County, CA","06007","March","3",158
,"Butte County, CA","06007","April","4",158
,"Butte County, CA","06007","May","5",162
,"Butte County, CA","06007","June","6",161
,"Butte County, CA","06007","July","7",148
,"Butte County, CA","06007","August","8",182
,"Butte County, CA","06007","September","9",183
,"Butte County, CA","06007","October","10",162
,"Butte County, CA","06007","November","11",163
,"Butte County, CA","06007","December","12",161
"Total","Butte County, CA","06007",,,1986
,"Contra Costa County, CA","06013","January","1",852
,"Contra Costa County, CA","06013","February","2",886
,"Contra Costa County, CA","06013","March","3",878
,"Contra Costa County, CA","06013","April","4",869
,"Contra Costa County, CA","06013","May","5",914
,"Contra Costa County, CA","06013","June","6",920
,"Contra Costa County, CA","06013","July","7",926
,"Contra Costa County, CA","06013","August","8",971
,"Contra Costa County, CA","06013","September","9",939
,"Contra Costa County, CA","06013","October","10",1013
,"Contra Costa County, CA","06013","November","11",834
,"Contra Costa County, CA","06013","December","12",886
"Total","Contra Costa County, CA","06013",,,10888
,"El Dorado County, CA","06017","January","1",108
,"El Dorado County, CA","06017","February","2",132
,"El Dorado County, CA","06017","March","3",121
,"El Dorado County, CA","06017","April","4",130
,"El Dorado County, CA","06017","May","5",136
,"El Dorado County, CA","06017","June","6",144
,"El Dorado County, CA","06017","July","7",143
,"El Dorado County, CA","06017","August","8",136
,"El Dorado County, CA","06017","September","9",118
,"El Dorado County, CA","06017","October","10",134
,"El Dorado County, CA","06017","November","11",114
,"El Dorado County, CA","06017","December","12",108
"Total","El Dorado County, CA","06017",,,1524
,"Fresno County, CA","06019","January","1",1064
,"Fresno County, CA","06019","February","2",1007
,"Fresno County, CA","06019","March","3",1086
,"Fresno County, CA","06019","April","4",1017
,"Fresno County, CA","06019","May","5",1057
,"Fresno County, CA","06019","June","6",1094
,"Fresno County, CA","06019","July","7",1175
,"Fresno County, CA","06019","August","8",1208
,"Fresno County, CA","06019","September","9",1157
,"Fresno County, CA","06019","October","10",1191
,"Fresno County, CA","06019","November","11",1046
,"Fresno County, CA","06019","December","12",1135
"Total","Fresno County, CA","06019",,,13237
,"Imperial County, CA","06025","January","1",203
,"Imperial County, CA","06025","February","2",189
,"Imperial County, CA","06025","March","3",179
,"Imperial County, CA","06025","April","4",175
,"Imperial County, CA","06025","May","5",159
,"Imperial County, CA","06025","June","6",152
,"Imperial County, CA","06025","July","7",170
,"Imperial County, CA","06025","August","8",182
,"Imperial County, CA","06025","September","9",204
,"Imperial County, CA","06025","October","10",167
,"Imperial County, CA","06025","November","11",192
,"Imperial County, CA","06025","December","12",217
"Total","Imperial County, CA","06025",,,2189
,"Kern County, CA","06029","January","1",1028
,"Kern County, CA","06029","February","2",858
,"Kern County, CA","06029","March","3",993
,"Kern County, CA","06029","April","4",900
,"Kern County, CA","06029","May","5",945
,"Kern County, CA","06029","June","6",966
,"Kern County, CA","06029","July","7",981
,"Kern County, CA","06029","August","8",1104
,"Kern County, CA","06029","September","9",1038
,"Kern County, CA","06029","October","10",961
,"Kern County, CA","06029","November","11",986
,"Kern County, CA","06029","December","12",1003
"Total","Kern County, CA","06029",,,11763
,"Kings County, CA","06031","January","1",191
,"Kings County, CA","06031","February","2",170
,"Kings County, CA","06031","March","3",170
,"Kings County, CA","06031","April","4",172
,"Kings County, CA","06031","May","5",188
,"Kings County, CA","06031","June","6",171
,"Kings County, CA","06031","July","7",180
,"Kings County, CA","06031","August","8",201
,"Kings County, CA","06031","September","9",210
,"Kings County, CA","06031","October","10",173
,"Kings County, CA","06031","November","11",186
,"Kings County, CA","06031","December","12",165
"Total","Kings County, CA","06031",,,2177
,"Los Angeles County, CA","06037","January","1",7345
,"Los Angeles County, CA","06037","February","2",7045
,"Los Angeles County, CA","06037","March","3",7475
,"Los Angeles County, CA","06037","April","4",7123
,"Los Angeles County, CA","06037","May","5",7352
,"Los Angeles County, CA","06037","June","6",7183
,"Los Angeles County, CA","06037","July","7",7748
,"Los Angeles County, CA","06037","August","8",8243
,"Los Angeles County, CA","06037","September","9",7802
,"Los Angeles County, CA","06037","October","10",8031
,"Los Angeles County, CA","06037","November","11",7498
,"Los Angeles County, CA","06037","December","12",7662
"Total","Los Angeles County, CA","06037",,,90507
,"Madera County, CA","06039","January","1",173
,"Madera County, CA","06039","February","2",141
,"Madera County, CA","06039","March","3",145
,"Madera County, CA","06039","April","4",167
,"Madera County, CA","06039","May","5",195
,"Madera County, CA","06039","June","6",192
,"Madera County, CA","06039","July","7",165
,"Madera County, CA","06039","August","8",227
,"Madera County, CA","06039","September","9",190
,"Madera County, CA","06039","October","10",203
,"Madera County, CA","06039","November","11",170
,"Madera County, CA","06039","December","12",167
"Total","Madera County, CA","06039",,,2135
,"Marin County, CA","06041","January","1",161
,"Marin County, CA","06041","February","2",172
,"Marin County, CA","06041","March","3",188
,"Marin County, CA","06041","April","4",172
,"Marin County, CA","06041","May","5",171
,"Marin County, CA","06041","June","6",156
,"Marin County, CA","06041","July","7",175
,"Marin County, CA","06041","August","8",187
,"Marin County, CA","06041","September","9",165
,"Marin County, CA","06041","October","10",174
,"Marin County, CA","06041","November","11",149
,"Marin County, CA","06041","December","12",171
"Total","Marin County, CA","06041",,,2041
,"Merced County, CA","06047","January","1",327
,"Merced County, CA","06047","February","2",286
,"Merced County, CA","06047","March","3",295
,"Merced County, CA","06047","April","4",294
,"Merced County, CA","06047","May","5",286
,"Merced County, CA","06047","June","6",298
,"Merced County, CA","06047","July","7",315
,"Merced County, CA","06047","August","8",339
,"Merced County, CA","06047","September","9",367
,"Merced County, CA","06047","October","10",330
,"Merced County, CA","06047","November","11",293
,"Merced County, CA","06047","December","12",326
"Total","Merced County, CA","06047",,,3756
,"Monterey County, CA","06053","January","1",408
,"Monterey County, CA","06053","February","2",420
,"Monterey County, CA","06053","March","3",421
,"Monterey County, CA","06053","April","4",432
,"Monterey County, CA","06053","May","5",457
,"Monterey County, CA","06053","June","6",458
,"Monterey County, CA","06053","July","7",451
,"Monterey County, CA","06053","August","8",471
,"Monterey County, CA","06053","September","9",429
,"Monterey County, CA","06053","October","10",409
,"Monterey County, CA","06053","November","11",407
,"Monterey County, CA","06053","December","12",408
"Total","Monterey County, CA","06053",,,5171
,"Napa County, CA","06055","January","1",83
,"Napa County, CA","06055","February","2",84
,"Napa County, CA","06055","March","3",85
,"Napa County, CA","06055","April","4",94
,"Napa County, CA","06055","May","5",83
,"Napa County, CA","06055","June","6",98
,"Napa County, CA","06055","July","7",78
,"Napa County, CA","06055","August","8",98
,"Napa County, CA","06055","September","9",94
,"Napa County, CA","06055","October","10",98
,"Napa County, CA","06055","November","11",93
,"Napa County, CA","06055","December","12",116
"Total","Napa County, CA","06055",,,1104
,"Orange County, CA","06059","January","1",2469
,"Orange County, CA","06059","February","2",2430
,"Orange County, CA","06059","March","3",2573
,"Orange County, CA","06059","April","4",2448
,"Orange County, CA","06059","May","5",2578
,"Orange County, CA","06059","June","6",2523
,"Orange County, CA","06059","July","7",2721
,"Orange County, CA","06059","August","8",2735
,"Orange County, CA","06059","September","9",2643
,"Orange County, CA","06059","October","10",2762
,"Orange County, CA","06059","November","11",2451
,"Orange County, CA","06059","December","12",2593
"Total","Orange County, CA","06059",,,30926
,"Placer County, CA","06061","January","1",319
,"Placer County, CA","06061","February","2",308
,"Placer County, CA","06061","March","3",324
,"Placer County, CA","06061","April","4",320
,"Placer County, CA","06061","May","5",330
,"Placer County, CA","06061","June","6",305
,"Placer County, CA","06061","July","7",368
,"Placer County, CA","06061","August","8",352
,"Placer County, CA","06061","September","9",344
,"Placer County, CA","06061","October","10",361
,"Placer County, CA","06061","November","11",309
,"Placer County, CA","06061","December","12",312
"Total","Placer County, CA","06061",,,3952
,"Riverside County, CA","06065","January","1",2265
,"Riverside County, CA","06065","February","2",2088
,"Riverside County, CA","06065","March","3",2338
,"Riverside County, CA","06065","April","4",2064
,"Riverside County, CA","06065","May","5",2083
,"Riverside County, CA","06065","June","6",2074
,"Riverside County, CA","06065","July","7",2361
,"Riverside County, CA","06065","August","8",2447
,"Riverside County, CA","06065","September","9",2377
,"Riverside County, CA","06065","October","10",2420
,"Riverside County, CA","06065","November","11",2203
,"Riverside County, CA","06065","December","12",2262
"Total","Riverside County, CA","06065",,,26982
,"Sacramento County, CA","06067","January","1",1472
,"Sacramento County, CA","06067","February","2",1300
,"Sacramento County, CA","06067","March","3",1379
,"Sacramento County, CA","06067","April","4",1336
,"Sacramento County, CA","06067","May","5",1407
,"Sacramento County, CA","06067","June","6",1471
,"Sacramento County, CA","06067","July","7",1566
,"Sacramento County, CA","06067","August","8",1593
,"Sacramento County, CA","06067","September","9",1475
,"Sacramento County, CA","06067","October","10",1500
,"Sacramento County, CA","06067","November","11",1422
,"Sacramento County, CA","06067","December","12",1518
"Total","Sacramento County, CA","06067",,,17439
,"San Bernardino County, CA","06071","January","1",2111
,"San Bernardino County, CA","06071","February","2",1972
,"San Bernardino County, CA","06071","March","3",2043
,"San Bernardino County, CA","06071","April","4",1981
