city,month,month_num,temp_low,temp_high,precip_days,precip_inches,sunshine_hours,latitude,longitude
Seattle,Jan,0,37,47,18,5.55,69,47.608013,-122.335167
Seattle,Feb,1,37,50,14,3.46,108,47.608013,-122.335167
Seattle,Mar,2,39,54,16,3.7,178,47.608013,-122.335167
Seattle,Apr,3,42,58,14,2.68,207,47.608013,-122.335167
Seattle,May,4,47,65,12,1.93,253,47.608013,-122.335167
Seattle,Jun,5,52,70,9,1.54,268,47.608013,-122.335167
Seattle,Jul,6,56,76,5,0.67,312,47.608013,-122.335167
Seattle,Aug,7,56,76,4,0.87,281,47.608013,-122.335167
Seattle,Sep,8,52,71,7,1.42,221,47.608013,-122.335167
Seattle,Oct,9,46,60,13,3.46,142,47.608013,-122.335167
Seattle,Nov,10,40,51,18,6.54,72,47.608013,-122.335167
Seattle,Dec,11,36,46,17,5.31,52,47.608013,-122.335167
San Francisco,Jan,0,53,66,2,0.16,165,37.733795,-122.446747
San Francisco,Feb,1,54,67,1,0.01,182,37.733795,-122.446747
San Francisco,Mar,2,51,64,4,0.7,251,37.733795,-122.446747
San Francisco,Apr,3,49,63,6,1.46,281,37.733795,-122.446747
San Francisco,May,4,49,62,10,3.26,314,37.733795,-122.446747
San Francisco,Jun,5,47,60,11,4.46,330,37.733795,-122.446747
San Francisco,Jul,6,46,57,11,4.5,300,37.733795,-122.446747
San Francisco,Aug,7,55,68,1,0.06,272,37.733795,-122.446747
San Francisco,Sep,8,55,70,1,0.21,267,37.733795,-122.446747
San Francisco,Oct,9,54,69,4,1.12,243,37.733795,-122.446747
San Francisco,Nov,10,50,63,7,3.16,189,37.733795,-122.446747
San Francisco,Dec,11,46,57,10,4.56,156,37.733795,-122.446747
Chicago,Jan,0,18,32,10,2.05,135,41.881832,-87.623177
Chicago,Feb,1,21,36,8,1.93,136,41.881832,-87.623177
Chicago,Mar,2,30,46,11,2.72,187,41.881832,-87.623177
Chicago,Apr,3,41,59,11,3.62,215,41.881832,-87.623177
Chicago,May,4,52,70,11,4.13,281,41.881832,-87.623177
Chicago,Jun,5,63,81,10,4.06,311,41.881832,-87.623177
Chicago,Jul,6,68,84,9,4.02,318,41.881832,-87.623177
Chicago,Aug,7,66,82,9,3.98,283,41.881832,-87.623177
Chicago,Sep,8,57,75,8,3.31,226,41.881832,-87.623177
Chicago,Oct,9,46,63,10,3.23,193,41.881832,-87.623177
Chicago,Nov,10,34,48,11,3.43,113,41.881832,-87.623177
Chicago,Dec,11,23,36,11,2.56,106,41.881832,-87.623177
Houston,Jan,0,44,62,10,3.7,144,29.749907,-95.358421
Houston,Feb,1,46,65,10,3.23,141,29.749907,-95.358421
Houston,Mar,2,54,72,9,2.4,193,29.749907,-95.358421
Houston,Apr,3,60,78,8,3.43,212,29.749907,-95.358421
Houston,May,4,66,84,8,4.45,266,29.749907,-95.358421
Houston,Jun,5,72,90,8,3.82,298,29.749907,-95.358421
Houston,Jul,6,74,92,10,5.16,294,29.749907,-95.358421
Houston,Aug,7,74,93,9,3.54,281,29.749907,-95.358421
Houston,Sep,8,70,88,9,3.82,238,29.749907,-95.358421
Houston,Oct,9,61,81,7,3.58,239,29.749907,-95.358421
Houston,Nov,10,52,71,8,4.06,181,29.749907,-95.358421
Houston,Dec,11,45,63,10,4.09,146,29.749907,-95.358421
New York,Jan,0,26,39,11,3.9,154,40.73061,-73.935242
New York,Feb,1,29,42,10,2.95,171,40.73061,-73.935242
New York,Mar,2,35,50,12,4.06,213,40.73061,-73.935242
New York,Apr,3,44,60,11,3.94,237,40.73061,-73.935242
New York,May,4,55,71,11,4.45,268,40.73061,-73.935242
New York,Jun,5,64,79,10,3.5,289,40.73061,-73.935242
New York,Jul,6,70,85,11,4.53,302,40.73061,-73.935242
New York,Aug,7,69,83,10,4.13,271,40.73061,-73.935242
New York,Sep,8,61,76,8,3.98,235,40.73061,-73.935242
New York,Oct,9,50,65,8,3.39,213,40.73061,-73.935242
New York,Nov,10,41,54,9,3.82,169,40.73061,-73.935242
New York,Dec,11,32,44,10,3.58,155,40.73061,-73.935242
Miami,Jan,0,60,76,6,1.62,222,25.761681,-80.191788
Miami,Feb,1,62,78,5,2.25,227,25.761681,-80.191788
Miami,Mar,2,65,80,6,3,266,25.761681,-80.191788
Miami,Apr,3,68,83,7,3.14,275,25.761681,-80.191788
Miami,May,4,73,87,10,5.34,280,25.761681,-80.191788
Miami,Jun,5,76,89,13,9.67,251,25.761681,-80.191788
Miami,Jul,6,77,91,17,6.5,267,25.761681,-80.191788
Miami,Aug,7,77,91,16,8.88,263,25.761681,-80.191788
Miami,Sep,8,76,89,18,9.86,216,25.761681,-80.191788
Miami,Oct,9,74,86,15,6.33,215,25.761681,-80.191788
Miami,Nov,10,68,82,8,3.27,212,25.761681,-80.191788
Miami,Dec,11,63,78,7,2.04,209,25.761681,-80.191788
